Month,Facebook,Google
2004-01,0,2
2004-02,0,2
2004-03,0,2
2004-04,0,3
2004-05,0,3
2004-06,0,3
2004-07,0,2
2004-08,0,3
2004-09,0,3
2004-10,0,3
2004-11,0,3
2004-12,0,3
2005-01,0,3
2005-02,0,3
2005-03,0,3
2005-04,0,4
2005-05,0,3
2005-06,0,4
2005-07,0,6
2005-08,0,7
2005-09,0,8
2005-10,0,7
2005-11,0,7
2005-12,0,7
2006-01,0,7
2006-02,0,7
2006-03,0,7
2006-04,0,7
2006-05,0,7
2006-06,0,8
2006-07,0,8
2006-08,1,8
2006-09,1,8
2006-10,1,9
2006-11,1,9
2006-12,1,9
2007-01,1,9
2007-02,1,9
2007-03,1,9
2007-04,2,9
2007-05,2,10
2007-06,3,9
2007-07,3,10
2007-08,4,10
2007-09,4,10
2007-10,5,10
2007-11,6,10
2007-12,6,10
2008-01,6,10
2008-02,6,10
2008-03,7,10
2008-04,7,10
2008-05,8,10
2008-06,9,10
2008-07,11,10
2008-08,12,11
2008-09,14,12
2008-10,15,11
2008-11,19,11
2008-12,21,10
2009-01,26,11
2009-02,27,12
2009-03,30,12
2009-04,32,12
2009-05,34,12
2009-06,35,12
2009-07,39,12
2009-08,40,12
2009-09,46,12
2009-10,47,13
2009-11,50,13
2009-12,54,13
2010-01,55,14
2010-02,57,14
2010-03,59,14
2010-04,62,14
2010-05,61,15
2010-06,64,14
2010-07,67,14
2010-08,68,14
2010-09,72,15
2010-10,70,15
2010-11,73,15
2010-12,76,15
2011-01,78,16
2011-02,77,16
2011-03,79,16
2011-04,80,17
2011-05,75,17
2011-06,78,18
2011-07,79,19
2011-08,81,18
2011-09,81,19
2011-10,81,19
2011-11,79,18
2011-12,80,18
2012-01,78,18
2012-02,78,18
2012-03,80,18
2012-04,80,18
2012-05,77,18
2012-06,80,18
2012-07,79,18
2012-08,76,19
2012-09,79,19
2012-10,97,22
2012-11,100,24
2012-12,99,25
2013-01,99,25
2013-02,94,24
2013-03,95,25
2013-04,94,26
2013-05,98,26
2013-06,96,27
2013-07,100,27
2013-08,95,27
2013-09,90,27
2013-10,84,30
2013-11,82,29
2013-12,81,28
2014-01,80,28
2014-02,76,28
2014-03,75,29
2014-04,79,29
2014-05,75,28
2014-06,80,28
2014-07,76,28
2014-08,73,29
2014-09,72,29
2014-10,68,28
2014-11,68,28
2014-12,66,28
2015-01,63,27
2015-02,63,28
2015-03,61,27
2015-04,61,27
2015-05,62,27
2015-06,60,26
2015-07,59,25
2015-08,60,26
2015-09,57,27
2015-10,57,26
2015-11,56,26
2015-12,55,25
2016-01,58,23
2016-02,57,23
2016-03,57,24
2016-04,56,22
2016-05,57,21
2016-06,55,21
2016-07,56,20
2016-08,54,21
2016-09,50,21
2016-10,49,22
2016-11,45,20
2016-12,46,19
2017-01,45,20
2017-02,42,20
2017-03,42,20
2017-04,43,20
2017-05,43,20
2017-06,41,18
2017-07,40,17
2017-08,41,18
2017-09,39,19
2017-10,38,20
2017-11,36,20
2017-12,35,19
2018-01,33,19
2018-02,32,19
2018-03,31,18
2018-04,30,18
2018-05,29,18
2018-06,28,16
2018-07,27,16
2018-08,26,16
2018-09,25,17
2018-10,24,17
2018-11,23,17
2018-12,23,16
2019-01,22,16
2019-02,21,17
2019-03,21,16
2019-04,20,16
2019-05,21,16
2019-06,21,16
2019-07,20,15
2019-08,20,16
2019-09,19,17
2019-10,19,17
2019-11,18,17
2019-12,18,16
2020-01,18,16
2020-02,17,17
2020-03,19,18
2020-04,19,21
2020-05,18,20
2020-06,17,16
2020-07,17,16
2020-08,16,17
2020-09,16,19
2020-10,16,16
2020-11,15,15
2020-12,15,15
2021-01,14,15
2021-02,14,15
2021-03,14,15
2021-04,13,15
2021-05,14,14
2021-06,13,14
2021-07,13,13
2021-08,13,14
2021-09,13,15
2021-10,13,14
2021-11,12,14
