Month,Geocities,tiktok
2004-01,7,0
2004-02,7,0
2004-03,6,0
2004-04,6,0
2004-05,6,0
2004-06,5,0
2004-07,4,0
2004-08,4,0
2004-09,5,0
2004-10,4,0
2004-11,4,0
2004-12,4,0
2005-01,4,0
2005-02,4,0
2005-03,4,0
2005-04,4,0
2005-05,4,0
2005-06,3,0
2005-07,3,0
2005-08,3,0
2005-09,3,0
2005-10,3,0
2005-11,3,0
2005-12,3,0
2006-01,3,0
2006-02,3,0
2006-03,3,0
2006-04,2,0
2006-05,3,0
2006-06,2,0
2006-07,2,0
2006-08,2,0
2006-09,2,0
2006-10,2,0
2006-11,2,0
2006-12,2,0
2007-01,2,0
2007-02,2,0
2007-03,2,0
2007-04,2,0
2007-05,2,0
2007-06,2,0
2007-07,1,0
2007-08,1,0
2007-09,1,0
2007-10,1,0
2007-11,1,0
2007-12,1,0
2008-01,1,0
2008-02,1,0
2008-03,1,0
2008-04,1,0
2008-05,1,0
2008-06,1,0
2008-07,1,0
2008-08,1,0
2008-09,1,0
2008-10,1,0
2008-11,1,0
2008-12,1,0
2009-01,1,0
2009-02,1,0
2009-03,1,0
2009-04,1,0
2009-05,1,0
2009-06,1,0
2009-07,1,0
2009-08,1,0
2009-09,0,0
2009-10,1,0
2009-11,0,0
2009-12,0,0
2010-01,0,0
2010-02,0,0
2010-03,0,0
2010-04,0,0
2010-05,0,0
2010-06,0,0
2010-07,0,0
2010-08,0,0
2010-09,0,0
2010-10,0,0
2010-11,0,0
2010-12,0,0
2011-01,0,0
2011-02,0,0
2011-03,0,0
2011-04,0,0
2011-05,0,0
2011-06,0,0
2011-07,0,0
2011-08,0,0
2011-09,0,0
2011-10,0,0
2011-11,0,0
2011-12,0,0
2012-01,0,0
2012-02,0,0
2012-03,0,0
2012-04,0,0
2012-05,0,0
2012-06,0,0
2012-07,0,0
2012-08,0,0
2012-09,0,0
2012-10,0,0
2012-11,0,0
2012-12,0,0
2013-01,0,0
2013-02,0,0
2013-03,0,0
2013-04,0,0
2013-05,0,0
2013-06,0,0
2013-07,0,0
2013-08,0,0
2013-09,0,0
2013-10,0,0
2013-11,0,0
2013-12,0,0
2014-01,0,0
2014-02,0,0
2014-03,0,0
2014-04,0,0
2014-05,0,0
2014-06,0,0
2014-07,0,0
2014-08,0,0
2014-09,0,0
2014-10,0,0
2014-11,0,0
2014-12,0,0
2015-01,0,0
2015-02,0,0
2015-03,0,0
2015-04,0,0
2015-05,0,0
2015-06,0,0
2015-07,0,0
2015-08,0,0
2015-09,0,0
2015-10,0,0
2015-11,0,0
2015-12,0,0
2016-01,0,0
2016-02,0,0
2016-03,0,0
2016-04,0,0
2016-05,0,0
2016-06,0,0
2016-07,0,0
2016-08,0,0
2016-09,0,0
2016-10,0,0
2016-11,0,0
2016-12,0,0
2017-01,0,0
2017-02,0,0
2017-03,0,0
2017-04,0,0
2017-05,0,0
2017-06,0,0
2017-07,0,0
2017-08,0,0
2017-09,0,0
2017-10,0,0
2017-11,0,0
2017-12,0,0
2018-01,0,0
2018-02,0,0
2018-03,0,1
2018-04,0,1
2018-05,0,1
2018-06,0,1
2018-07,0,2
2018-08,0,1
2018-09,0,2
2018-10,0,2
2018-11,0,3
2018-12,0,3
2019-01,0,3
2019-02,0,3
2019-03,0,4
2019-04,0,6
2019-05,0,4
2019-06,0,6
2019-07,0,6
2019-08,0,8
2019-09,0,31
2019-10,0,9
2019-11,0,10
2019-12,0,13
2020-01,0,16
2020-02,0,20
2020-03,0,28
2020-04,0,41
2020-05,0,44
2020-06,0,45
2020-07,0,51
2020-08,0,53
2020-09,0,50
2020-10,0,42
2020-11,0,45
2020-12,0,52
2021-01,0,64
2021-02,0,72
2021-03,0,70
2021-04,0,76
2021-05,0,93
2021-06,0,96
2021-07,0,100
2021-08,0,100
2021-09,0,95
2021-10,0,98
2021-11,0,99
