Month,Yahoo!,Google
2004-01,22,7
2004-02,22,7
2004-03,22,8
2004-04,22,9
2004-05,24,9
2004-06,26,9
2004-07,25,8
2004-08,25,8
2004-09,25,9
2004-10,26,9
2004-11,26,10
2004-12,27,9
2005-01,27,10
2005-02,29,10
2005-03,29,10
2005-04,30,12
2005-05,30,12
2005-06,32,13
2005-07,33,21
2005-08,33,24
2005-09,33,26
2005-10,33,23
2005-11,34,22
2005-12,35,22
2006-01,34,24
2006-02,35,24
2006-03,36,25
2006-04,37,25
2006-05,37,25
2006-06,39,26
2006-07,39,27
2006-08,39,27
2006-09,38,28
2006-10,38,29
2006-11,39,31
2006-12,38,30
2007-01,37,31
2007-02,39,31
2007-03,39,32
2007-04,39,32
2007-05,40,33
2007-06,40,32
2007-07,41,32
2007-08,41,35
2007-09,40,35
2007-10,41,34
2007-11,41,32
2007-12,42,33
2008-01,40,33
2008-02,41,33
2008-03,40,34
2008-04,40,34
2008-05,42,34
2008-06,43,33
2008-07,43,33
2008-08,43,36
2008-09,43,39
2008-10,44,37
2008-11,43,37
2008-12,44,35
2009-01,44,38
2009-02,44,42
2009-03,46,42
2009-04,48,42
2009-05,47,41
2009-06,48,40
2009-07,49,41
2009-08,49,40
2009-09,49,40
2009-10,50,44
2009-11,51,45
2009-12,49,44
2010-01,48,46
2010-02,49,47
2010-03,52,47
2010-04,50,47
2010-05,48,49
2010-06,50,46
2010-07,51,47
2010-08,48,47
2010-09,50,49
2010-10,51,51
2010-11,48,52
2010-12,50,52
2011-01,47,53
2011-02,48,55
2011-03,50,56
2011-04,48,56
2011-05,46,58
2011-06,46,60
2011-07,47,64
2011-08,47,62
2011-09,47,63
2011-10,47,65
2011-11,45,62
2011-12,44,62
2012-01,42,61
2012-02,45,61
2012-03,45,60
2012-04,45,62
2012-05,44,61
2012-06,44,62
2012-07,43,61
2012-08,44,65
2012-09,45,66
2012-10,48,74
2012-11,47,81
2012-12,47,84
2013-01,45,84
2013-02,45,82
2013-03,44,86
2013-04,44,89
2013-05,42,90
2013-06,42,91
2013-07,40,91
2013-08,39,91
2013-09,39,92
2013-10,38,100
2013-11,35,97
2013-12,35,95
2014-01,32,96
2014-02,33,94
2014-03,33,97
2014-04,31,97
2014-05,32,96
2014-06,32,95
2014-07,30,93
2014-08,30,97
2014-09,31,98
2014-10,30,96
2014-11,28,96
2014-12,27,94
2015-01,27,93
2015-02,25,94
2015-03,25,93
2015-04,24,91
2015-05,25,92
2015-06,25,88
2015-07,24,85
2015-08,23,87
2015-09,23,92
2015-10,23,88
2015-11,22,88
2015-12,21,85
2016-01,18,77
2016-02,18,79
2016-03,19,80
2016-04,18,76
2016-05,17,73
2016-06,18,71
2016-07,17,68
2016-08,17,72
2016-09,17,72
2016-10,16,73
2016-11,16,69
2016-12,15,66
2017-01,15,67
2017-02,14,69
2017-03,15,69
2017-04,15,67
2017-05,15,69
2017-06,14,62
2017-07,14,59
2017-08,15,62
2017-09,15,65
2017-10,15,69
2017-11,15,67
2017-12,13,63
2018-01,13,63
2018-02,14,63
2018-03,13,62
2018-04,13,61
2018-05,12,60
2018-06,12,54
2018-07,11,53
2018-08,11,54
2018-09,11,59
2018-10,10,59
2018-11,10,59
2018-12,9,54
2019-01,10,56
2019-02,9,56
2019-03,9,56
2019-04,9,55
2019-05,9,56
2019-06,9,53
2019-07,9,49
2019-08,10,53
2019-09,10,59
2019-10,10,57
2019-11,9,57
2019-12,9,53
2020-01,9,53
2020-02,10,56
2020-03,10,60
2020-04,10,70
2020-05,10,68
2020-06,10,55
2020-07,10,53
2020-08,10,56
2020-09,10,64
2020-10,9,54
2020-11,9,51
2020-12,9,50
2021-01,9,50
2021-02,10,52
2021-03,10,50
2021-04,9,49
2021-05,9,48
2021-06,9,47
2021-07,9,45
2021-08,9,46
2021-09,9,50
2021-10,9,47
2021-11,9,48
