type,captures,urls,new_urls
text/html,650864,173383,101261
image/gif,216731,94144,42780
application/pdf,19737,10956,6623
image/jpeg,14017,7901,5642
text/plain,2758,980,394
text/css,1766,151,60
application/x-shockwave-flash,472,251,196
video/quicktime,214,140,116
application/mac-binhex40,166,113,92
application/zip,154,102,83
application/octet-stream,133,92,71
application/x-director,101,58,55
application/x-tar,64,38,35
application/javascript,37,6,0
image/svg+xml,28,20,0
audio/x-aiff,15,10,5
image/png,14,14,12
audio/mpeg,12,12,12
application/x-stuffit,10,8,6
application/msword,5,5,4
audio/x-wav,3,2,2
application/vnd.ms-excel,3,2,1
video/mpeg,1,1,1
