type,captures,urls,new_urls
text/html,1225240,271505,119907
image/gif,38531,11885,8460
image/jpeg,8544,4340,3004
text/css,8093,2224,1391
text/plain,2203,772,346
application/pdf,1305,813,616
video/quicktime,973,361,297
application/mac-binhex40,336,136,118
application/octet-stream,196,63,28
application/x-shockwave-flash,54,45,42
application/postscript,37,11,1
application/zip,33,11,11
audio/mpeg,32,21,21
image/tiff,21,19,7
application/msword,18,13,10
audio/x-aiff,6,3,2
audio/basic,4,1,1
application/x-stuffit,4,3,1
audio/x-wav,3,1,1
application/x-pkcs7-crl,1,1,0
application/vnd.ms-powerpoint,1,1,0
