type,captures,urls,new_urls
text/html,598781,313707,190104
image/gif,8344,3739,2641
image/jpeg,6676,3823,2778
application/octet-stream,1057,605,376
text/css,841,322,180
image/png,578,396,350
application/pdf,435,194,114
application/x-shockwave-flash,426,221,160
text/plain,235,97,55
application/msword,176,110,56
application/rtf,76,47,22
application/vnd.ms-powerpoint,69,28,14
message/rfc822,50,25,9
audio/mpeg,25,16,16
application/x-tar,21,8,4
video/x-ms-wmv,3,3,3
application/vnd.ms-excel,3,2,1
audio/x-ms-wma,1,1,1
application/x-ms-wmz,1,1,0
