type,captures,urls,new_urls
text/html,671536,369752,340467
image/gif,7031,2701,1594
image/png,1517,708,657
image/jpeg,1395,739,549
text/vnd.wap.wml,881,256,165
text/css,593,218,137
application/pdf,432,277,235
application/xhtml+xml,155,50,50
application/atom+xml,138,75,74
application/vnd.google-earth.kml+xml,102,102,102
text/plain,81,39,23
application/octet-stream,24,13,8
application/xml,20,18,15
application/x-shockwave-flash,10,5,4
application/zip,5,3,3
application/json,4,3,3
x-epoc/x-sisx-app,3,2,2
text/vnd.sun.j2me.app-descriptor,1,1,1
text/csv,1,1,1
application/x-jam,1,1,1
application/java-archive,1,1,1
