type,captures,urls,new_urls
text/html,17786593,8514822,7237691
image/jpeg,779105,506073,478598
image/gif,700619,111701,63917
image/png,360793,111564,103215
text/css,105660,10449,7572
application/atom+xml,51574,17827,17308
application/xhtml+xml,22366,4288,4285
text/plain,14702,4022,3149
audio/x-wav,13574,13435,13435
application/x-shockwave-flash,11311,1426,1286
application/pdf,7639,2925,2282
application/vnd.ms-excel,6753,3201,3051
application/xml,5620,2003,1505
text/vnd.wap.wml,3741,1709,1545
application/zip,2192,1203,947
application/json,1100,85,53
application/octet-stream,612,322,160
application/javascript,308,45,43
text/vnd.sun.j2me.app-descriptor,198,107,102
application/vnd.google-earth.kml+xml,78,35,30
application/java-archive,61,34,23
x-epoc/x-sisx-app,35,17,14
application/vnd.mozilla.xul+xml,29,6,0
text/calendar,22,19,19
application/vnd.google-earth.kmz,19,18,18
audio/mpeg,10,2,1
application/vnd.symbian.install,10,7,4
image/tiff,4,3,2
application/vnd.rim.cod,4,4,4
image/svg+xml,2,2,2
text/csv,1,1,1
