type,captures,urls,new_urls
text/html,1091090,726207,593224
image/gif,10154,5277,3600
image/jpeg,8545,7711,7257
image/png,1833,1023,979
application/atom+xml,1289,1259,1250
text/css,765,351,234
text/vnd.wap.wml,581,194,136
application/pdf,353,294,237
text/plain,334,144,100
application/xhtml+xml,144,32,32
application/xml,103,57,40
text/vnd.sun.j2me.app-descriptor,46,29,29
application/octet-stream,43,25,13
application/zip,34,34,33
application/x-shockwave-flash,17,13,9
x-epoc/x-sisx-app,9,4,4
application/json,8,4,2
application/vnd.ms-excel,5,5,5
application/javascript,5,1,1
application/vnd.google-earth.kmz,1,1,1
application/vnd.google-earth.kml+xml,1,1,1
application/java-archive,1,1,1
