type,captures,urls,new_urls
text/html,349752,118713,71275
image/gif,38792,15076,10971
image/png,7757,1515,1297
application/pdf,3904,2161,1464
image/jpeg,2921,1516,1199
text/plain,2055,49,11
text/css,2016,349,273
application/x-shockwave-flash,1058,583,531
application/msword,38,28,23
application/octet-stream,25,12,8
application/vnd.ms-powerpoint,23,20,17
application/zip,15,6,4
application/postscript,12,8,6
application/vnd.ms-excel,8,5,4
audio/x-ms-wma,4,4,4
text/vnd.wap.wml,2,1,0
video/mpeg,1,1,1
