type,captures,urls,new_urls
text/html,13528535,10471208,9888512
image/gif,118199,11429,5249
image/jpeg,91780,11783,6972
image/png,15969,6495,6048
application/javascript,7830,520,308
text/css,4013,305,147
text/plain,1575,66,24
application/x-shockwave-flash,1350,222,115
application/octet-stream,159,7,1
application/msword,113,29,12
application/xml,58,13,12
image/svg+xml,55,1,1
application/vnd.android.package-archive,25,6,4
application/pdf,16,6,3
application/json,8,4,4
application/xhtml+xml,4,4,4
text/vnd.wap.wml,2,1,0
audio/x-pn-realaudio,2,1,1
application/zip,2,1,1
