type,captures,urls,new_urls
text/html,55391108,43846444,40899996
image/jpeg,351061,80932,72129
text/css,186347,46901,45628
application/json,155501,112045,109889
image/png,97409,10193,8396
image/gif,80272,31639,30978
image/vnd.microsoft.icon,21005,44,12
application/x-shockwave-flash,5944,2141,2051
image/svg+xml,5425,71,42
application/vnd.ms-fontobject,4689,47,19
text/plain,2227,728,723
font/woff2,1178,14,11
application/javascript,1008,71,53
application/atom+xml,349,116,84
application/pdf,263,169,121
application/xml,18,9,5
image/tiff,2,1,1
application/octet-stream,1,1,1
