type,captures,urls,new_urls
text/html,239761964,165391707,123920543
image/gif,2194799,1591406,1550195
image/jpeg,1789062,1632479,1614942
image/png,539248,32669,29152
application/atom+xml,220818,111981,100190
text/plain,10962,1629,705
text/css,10738,480,395
application/x-shockwave-flash,6297,53,27
audio/mpeg,3935,2472,2145
application/xml,1488,26,19
image/svg+xml,1133,19,18
application/octet-stream,576,30,12
video/mp4,464,10,9
application/pdf,334,47,33
application/ogg,208,2,2
application/postscript,7,2,1
application/json,5,4,3
text/calendar,4,2,2
application/x-tar,4,2,1
audio/x-wav,1,1,1
