type,captures,urls,new_urls
text/html,6414506,5324874,5019578
application/atom+xml,216590,199387,180909
text/plain,131651,127527,125155
image/png,19883,2988,2584
application/json,9676,9028,4598
image/gif,1933,431,372
image/vnd.microsoft.icon,713,3,0
application/pdf,713,711,705
application/xml,702,33,26
application/javascript,379,82,67
image/jpeg,324,186,172
application/x-shockwave-flash,277,12,7
text/css,129,64,37
image/svg+xml,13,7,4
application/octet-stream,9,7,5
application/vnd.ms-fontobject,4,4,2
application/java-archive,3,2,2
text/csv,1,1,1
model/mesh,1,1,1
