type,captures,urls,new_urls
text/html,5004068,1104270,962716
image/png,2775958,149318,103258
image/jpeg,1328188,79366,50771
image/gif,211346,13440,10217
application/xml,184203,103995,98333
text/css,174319,6631,4446
image/svg+xml,5628,583,369
application/xhtml+xml,5398,2368,2341
application/json,711,96,78
text/vnd.wap.wml,494,173,128
application/pdf,475,298,215
application/zip,378,93,91
application/octet-stream,301,265,254
text/plain,271,49,35
application/javascript,239,108,103
video/webm,212,58,50
video/mp4,148,22,17
video/x-flv,126,2,1
video/ogg,104,6,2
application/vnd.google-earth.kml+xml,64,4,2
application/atom+xml,37,32,32
font/woff,25,4,3
font/ttf,25,4,3
audio/ogg,14,14,14
application/x-shockwave-flash,5,4,4
audio/mpeg,1,1,1
