type,captures,urls,new_urls
text/html,4472019,1102575,962890
image/png,2222113,146505,103355
image/jpeg,960749,151164,127418
image/gif,151815,15626,10502
text/css,150406,6894,4163
application/xml,17704,12256,11733
application/xhtml+xml,7502,4505,4137
image/svg+xml,5025,412,286
application/json,1941,99,60
text/vnd.wap.wml,451,158,131
text/plain,396,75,45
application/javascript,382,149,143
application/pdf,294,275,209
application/zip,240,142,140
application/octet-stream,228,149,121
application/atom+xml,146,65,63
video/x-flv,57,2,1
video/webm,47,21,21
video/mp4,36,18,18
application/vnd.google-earth.kml+xml,26,4,2
font/woff,20,3,2
font/ttf,19,3,2
video/ogg,5,2,2
application/x-shockwave-flash,3,3,2
application/vnd.google-earth.kmz,2,2,1
