type,captures,urls,new_urls
text/html,5622691,2346227,2175371
image/png,1672409,1095743,1083233
image/jpeg,317381,18206,12021
image/gif,229010,146155,142673
application/atom+xml,121908,3453,1919
text/css,48977,2621,1770
application/xhtml+xml,845,254,247
application/json,669,268,259
application/xml,662,563,557
text/plain,659,36,22
application/x-shockwave-flash,648,69,59
application/pdf,508,257,172
text/vnd.wap.wml,383,117,80
image/svg+xml,184,46,46
application/zip,128,102,85
video/webm,69,37,35
application/javascript,41,21,19
application/octet-stream,40,36,32
video/ogg,24,3,3
video/mp4,22,2,2
application/vnd.ms-excel,10,9,9
font/woff,7,2,2
font/ttf,5,1,1
x-epoc/x-sisx-app,4,2,2
application/msword,4,3,3
