type,captures,urls,new_urls
text/html,214277,95956,71494
image/png,5899,702,413
image/jpeg,1706,583,455
image/gif,1429,135,70
text/css,655,137,93
application/json,594,153,135
application/javascript,556,91,67
application/xml,211,12,7
application/x-shockwave-flash,69,13,3
application/atom+xml,60,18,4
application/pdf,21,14,7
text/plain,11,5,3
video/x-flv,8,2,1
application/xhtml+xml,7,2,1
application/vnd.symbian.install,5,3,2
application/zip,4,2,1
application/x-msdos-program,4,3,2
application/vnd.ms-excel,4,3,0
application/x-apple-diskimage,2,2,1
application/x-redhat-package-manager,1,1,1
application/vnd.android.package-archive,1,1,1
