type,captures,urls,new_urls
text/html,373002255,191630085,155734289
application/json,3675475,2945142,2773090
image/gif,1381539,1306849,1304728
application/javascript,631646,473873,20172
application/atom+xml,252294,98760,69995
image/vnd.microsoft.icon,148884,4,0
application/xml,106064,1433,1331
application/xhtml+xml,40756,11691,7351
image/png,36699,2682,2498
text/plain,23642,8,2
image/jpeg,18403,2564,2505
text/css,11631,347,311
application/x-shockwave-flash,6124,52,29
application/postscript,349,12,8
application/zip,72,4,4
application/octet-stream,37,22,22
image/svg+xml,6,1,1
font/ttf,6,1,1
text/vnd.wap.wml,3,2,2
