type,captures,urls,new_urls
text/html,28405200,20937004,19428628
image/gif,58331,7867,2449
image/png,26527,1279,717
application/json,17313,15570,15133
image/jpeg,7575,1964,1286
text/css,5394,361,161
image/svg+xml,4934,184,152
application/javascript,4768,345,165
application/xml,2330,52,27
text/plain,830,161,108
application/vnd.ms-fontobject,347,10,9
application/pdf,221,98,54
application/x-shockwave-flash,16,4,4
application/octet-stream,10,2,1
text/x-component,1,1,1
image/x-xbitmap,1,1,1
audio/x-mpegurl,1,1,1
application/msword,1,1,1
