type,captures,urls,new_urls
text/html,20931414,13761560,12967761
image/jpeg,384421,6104,4413
image/png,39529,2264,1689
text/css,12157,684,600
image/svg+xml,4970,35,33
image/gif,4503,286,226
application/xml,2386,8,1
application/javascript,912,568,567
application/vnd.ms-fontobject,777,5,3
text/plain,508,7,1
image/vnd.microsoft.icon,261,8,4
application/octet-stream,80,5,2
application/x-shockwave-flash,79,33,22
application/atomserv+xml,10,2,2
application/atom+xml,6,4,2
application/json,2,2,0
audio/mpeg,1,1,1
