type,captures,urls,new_urls
text/html,396730240,197898171,145083375
application/x-shockwave-flash,82952560,44650159,31612904
application/json,18142344,8871462,7830426
image/jpeg,686261,448409,445261
image/gif,590343,1664,1100
image/png,298338,2712,1429
application/javascript,85571,17385,16957
text/css,67481,501,396
text/plain,29523,26300,26213
text/calendar,9931,3961,3760
application/xml,4309,10,1
image/svg+xml,2283,23,22
video/mp4,673,362,48
application/postscript,235,21,14
application/zip,139,11,8
video/webm,108,1,1
font/ttf,70,56,55
application/octet-stream,56,14,7
image/x-photoshop,31,2,1
video/ogg,17,2,1
audio/mpeg,8,8,8
application/pdf,3,3,2
application/atom+xml,2,2,2
