type,captures,urls,new_urls
text/html,764053758,418592485,309385206
image/png,3576118,3542363,3541310
image/gif,2231418,1849216,1829022
application/json,1192832,883048,819888
text/plain,1125668,1087669,983370
audio/x-mpegurl,27921,25391,24741
application/javascript,20684,119,95
image/jpeg,18728,7217,4861
application/xspf+xml,2444,2353,2351
text/css,1265,168,92
image/svg+xml,922,12,12
audio/x-pn-realaudio,431,284,280
audio/x-ms-wma,101,101,101
video/x-ms-asf,76,43,43
application/xml,70,48,35
application/octet-stream,18,5,1
application/pdf,13,8,8
text/x-pascal,2,2,2
video/mp4,1,1,1
audio/mpeg,1,1,1
