type,captures,urls,new_urls
text/html,23372169,13155292,10920372
image/jpeg,2634129,1517843,1410171
application/xml,427570,163602,130827
image/png,225661,53213,50904
application/x-shockwave-flash,219462,218209,218196
application/json,119145,62803,60932
application/javascript,70024,6064,5577
text/css,29012,7432,7168
image/gif,21693,408,143
application/octet-stream,20269,352,194
image/svg+xml,19729,5315,5143
application/vnd.ms-fontobject,5500,188,120
text/plain,1438,235,154
video/x-flv,1351,539,512
application/vnd.android.package-archive,112,14,5
application/pdf,14,6,4
video/mp4,6,5,4
font/woff2,5,4,4
video/webm,3,1,1
font/woff,2,2,2
font/ttf,1,1,1
