type,captures,urls,new_urls
text/html,39483454,21775712,20633762
image/jpeg,24001160,5612500,5551610
image/svg+xml,11214203,36321,34282
image/png,8208233,124221,103984
text/css,3626435,65370,63777
application/json,2949871,1460840,1458013
image/gif,1813420,179928,178242
font/woff2,363934,32,24
application/javascript,260145,13105,10432
audio/mpeg,196137,6176,6003
text/plain,159544,112328,111250
application/xml,4330,3134,2990
application/octet-stream,3264,352,278
application/vnd.ms-fontobject,1823,149,127
video/mp4,1750,68,55
application/x-shockwave-flash,1180,83,58
video/ogg,480,130,90
video/x-flv,267,267,267
application/zip,73,60,60
video/webm,50,20,14
application/vnd.openxmlformats-officedocument.wordprocessingml.document,36,16,0
application/vnd.ms-officetheme,33,5,1
application/pdf,15,7,4
text/cache-manifest,1,1,1
