type,captures,urls,new_urls
text/html,967438,62260,34857
image/jpeg,635503,29870,15054
image/png,351170,20055,11391
image/gif,220046,79208,70709
application/javascript,74692,4560,2918
application/pdf,49156,3091,1681
text/css,46640,3112,1644
application/json,26287,15827,15298
image/svg+xml,18962,2158,1805
application/vnd.ms-fontobject,17129,2421,2073
text/plain,10135,700,432
font/ttf,7620,687,589
video/mp4,5095,389,293
image/vnd.microsoft.icon,4645,19,1
video/webm,3575,256,213
audio/ogg,2551,209,199
application/xml,1851,116,95
application/octet-stream,1344,109,54
video/mpeg,1271,77,39
application/x-shockwave-flash,1024,49,19
audio/mpeg,684,38,19
application/zip,133,15,10
font/woff2,70,2,1
application/msword,34,8,4
audio/x-wav,33,4,0
application/vnd.ms-powerpoint,14,6,6
video/ogg,6,2,2
application/x-director,2,2,2
