type,captures,urls,new_urls
text/html,10175690,4213879,3953002
text/plain,155979,1248,1084
image/png,96560,6769,4095
application/json,36537,8285,8234
application/octet-stream,35525,127,74
image/jpeg,32943,6244,5871
application/javascript,31006,1403,1349
image/gif,18997,1063,475
image/svg+xml,14028,237,119
text/css,8574,2737,2084
video/mp4,935,24,24
application/x-shockwave-flash,842,30,13
application/zip,178,29,25
application/xml,95,9,4
application/pdf,88,75,63
font/woff2,12,12,12
video/quicktime,1,1,1
application/vnd.ms-fontobject,1,1,1
