type,captures,urls,new_urls
text/html,120967411,93541131,87806159
application/json,2200197,1343657,1307172
application/javascript,394739,153001,152758
text/plain,206443,160807,159823
application/xml,170636,162771,154186
text/css,6410,375,193
application/xhtml+xml,5344,3291,2525
image/jpeg,1054,829,500
image/gif,339,195,36
image/png,273,79,45
image/svg+xml,65,22,8
application/vnd.ms-fontobject,61,13,4
application/x-shockwave-flash,52,40,22
application/pdf,25,23,20
application/octet-stream,5,4,4
application/vnd.ms-excel,2,2,2
application/gzip,1,1,1
