type,captures,urls,new_urls
text/html,53273565,11296367,8691847
image/jpeg,320292,80880,64662
application/json,291107,59358,55494
image/png,138783,8627,4007
image/gif,63915,11714,5682
text/plain,49749,38,11
image/svg+xml,13282,96,30
image/vnd.microsoft.icon,13131,2,0
application/octet-stream,3818,128,41
text/calendar,3808,60,30
text/css,3678,601,278
video/mp4,3267,85,52
application/javascript,3012,212,58
application/x-shockwave-flash,2929,115,82
application/pdf,1292,442,286
audio/x-wav,73,71,70
audio/mpeg,36,4,1
video/x-msvideo,27,27,27
video/x-flv,6,6,6
application/x-director,3,3,2
video/mpeg,2,1,1
video/quicktime,1,1,1
