type,captures,urls,new_urls
text/html,11279951,1394163,1279343
application/json,563258,18180,16959
image/svg+xml,119506,313,232
application/javascript,61957,1006,936
image/png,24737,1028,734
text/css,24153,628,589
image/vnd.microsoft.icon,22752,55,49
image/jpeg,19948,6602,5555
image/gif,2566,1328,896
application/octet-stream,2003,65,64
application/xml,1161,30,20
font/woff2,548,7,4
video/ogg,290,3,1
video/mp4,254,1,1
text/plain,107,94,46
application/zip,37,37,36
application/pdf,13,6,3
video/quicktime,6,5,4
font/woff,6,2,2
video/x-ms-wmv,3,3,3
application/x-shockwave-flash,3,2,2
video/mpeg,2,2,2
audio/x-pn-realaudio,2,2,2
video/x-msvideo,1,1,1
audio/mpeg,1,1,1
