type,captures,urls,new_urls
text/html,17516946,13825571,12754322
application/json,760415,139112,111382
image/jpeg,730032,67852,37527
text/css,163214,3527,3193
image/png,143556,17638,9819
image/gif,105395,86966,86364
application/javascript,20486,1772,1315
application/pdf,2767,383,310
image/svg+xml,1378,160,85
application/x-shockwave-flash,633,16,11
application/vnd.ms-fontobject,544,41,19
font/ttf,345,47,25
application/xml,221,20,8
application/octet-stream,203,14,10
text/calendar,188,70,69
font/woff2,153,7,3
video/mp4,84,12,6
font/woff,77,6,4
text/plain,55,12,10
application/x-wais-source,42,3,1
application/zip,36,2,1
audio/x-ms-wma,17,8,6
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,11,3,3
application/msword,7,5,4
audio/x-wav,3,1,1
