type,captures,urls,new_urls
text/html,3633711,1178240,1013626
image/png,623332,108367,101978
image/jpeg,128108,19554,17846
image/gif,41990,7811,5788
text/css,32470,1898,1494
image/svg+xml,4357,252,131
text/vnd.wap.wml,849,283,182
application/zip,655,317,317
application/json,595,75,60
application/pdf,383,147,144
video/webm,241,73,26
text/plain,125,30,20
application/atom+xml,112,78,78
application/vnd.ms-excel,89,43,43
application/msword,86,12,12
video/mp4,80,33,15
video/ogg,56,12,3
x-epoc/x-sisx-app,33,12,9
font/woff2,31,7,7
application/x-shockwave-flash,20,15,15
font/woff,19,5,5
font/ttf,19,5,5
application/xhtml+xml,14,2,2
text/vnd.sun.j2me.app-descriptor,13,10,9
application/octet-stream,11,11,11
application/xml,9,9,9
application/vnd.openxmlformats-officedocument.wordprocessingml.document,9,9,9
application/javascript,7,7,6
