type,captures,urls,new_urls
image/png,52411,3566,1987
text/html,51564,7483,5950
image/svg+xml,37287,1447,749
image/jpeg,30296,2597,1542
application/javascript,19473,3648,3346
text/css,14716,5217,5064
application/vnd.ms-fontobject,1908,70,20
image/gif,1703,268,123
application/json,1354,99,66
video/mp4,451,23,17
image/png,52411,3566,1987
text/html,51564,7483,5950
image/svg+xml,37287,1447,749
image/jpeg,30296,2597,1542
application/javascript,19473,3648,3346
text/css,14716,5217,5064
application/vnd.ms-fontobject,1908,70,20
image/gif,1703,268,123
application/json,1354,99,66
video/mp4,451,23,17
