type,captures,urls,new_urls
text/html,35324205,16601206,12282287
image/gif,2353051,882317,547283
image/jpeg,2167312,592519,404821
image/png,2052067,304600,187789
text/css,2006463,252270,184918
application/javascript,865850,136110,132424
image/svg+xml,307568,7677,4045
application/octet-stream,157230,21402,9649
application/json,99613,35298,31370
application/pdf,23801,15536,11920
application/msword,21043,13892,10149
text/plain,19647,7916,4495
video/x-ms-asf,15957,4740,3190
application/xml,14620,12856,12621
video/x-ms-wvx,12320,6240,3177
application/x-shockwave-flash,10355,6184,4575
application/xhtml+xml,7725,2058,808
application/vnd.ms-fontobject,3707,380,183
application/hta,2679,1730,1683
image/tiff,2357,1848,1168
application/vnd.openxmlformats-officedocument.wordprocessingml.document,2350,1327,794
text/x-component,1620,323,159
font/woff2,1555,157,119
video/x-ms-wmv,1296,624,348
application/vnd.ms-powerpoint,1240,748,605
font/woff,899,158,111
application/zip,835,644,281
text/calendar,803,700,641
application/rtf,720,448,256
video/mp4,614,128,77
application/vnd.openxmlformats-officedocument.presentationml.presentation,538,293,210
application/x-ms-wmz,403,286,150
application/mac-binhex40,403,135,77
audio/x-wav,388,130,80
video/x-msvideo,358,157,142
application/vnd.ms-excel,348,267,149
application/x-director,320,185,98
application/postscript,320,199,143
audio/mpeg,277,115,90
video/webm,254,36,23
audio/x-ms-wax,218,133,72
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,186,113,60
application/x-cdf,175,53,3
audio/x-ms-wma,170,89,48
video/x-ms-wmx,157,82,41
image/x-ms-bmp,154,64,14
application/atom+xml,153,17,12
font/ttf,140,44,16
application/x-netcdf,137,76,16
text/vnd.wap.wml,127,8,8
application/x-x509-ca-cert,84,55,32
audio/x-aiff,63,28,7
message/rfc822,51,29,17
text/x-vcalendar,44,36,34
image/vnd.microsoft.icon,43,6,1
audio/midi,30,14,2
application/vnd.google-earth.kmz,25,6,2
video/mpeg,24,19,17
application/pics-rules,24,9,0
application/x-stuffit,9,6,5
application/vnd.ms-pki.seccat,8,3,3
video/x-ms-wm,4,2,1
application/vnd.openxmlformats-officedocument.presentationml.slideshow,4,3,3
application/x-tar,3,2,1
application/x-ms-wmd,3,1,0
application/vnd.visio,2,2,0
application/vnd.ms-officetheme,2,2,1
video/quicktime,1,1,1
application/x-troff-ms,1,1,1
