type,captures,urls,new_urls
text/html,6372423,2701013,2395709
image/gif,860683,19283,5440
application/json,372602,101795,100912
application/javascript,332017,44575,41163
image/jpeg,250598,239867,239748
audio/mpeg,187934,179375,179255
text/plain,38078,21513,21470
image/png,5949,142,68
audio/basic,1118,1103,1103
image/svg+xml,1023,53,14
text/css,937,83,62
audio/x-wav,909,909,909
image/vnd.microsoft.icon,173,10,0
application/vnd.ms-fontobject,99,5,2
application/x-shockwave-flash,90,10,7
application/xml,82,8,2
font/woff,33,3,1
application/pdf,27,12,11
font/woff2,18,2,0
font/ttf,18,2,0
application/xhtml+xml,4,4,3
