type,captures,urls,new_urls
text/html,31111106,15861114,12903789
application/json,2665199,2555973,2500687
application/javascript,587835,825,375
text/plain,109912,87021,86542
text/css,96876,312,186
image/jpeg,37155,3093,2229
image/png,37098,1318,771
application/xml,25852,888,322
application/x-shockwave-flash,4009,39,27
image/svg+xml,1934,104,53
image/vnd.microsoft.icon,1561,5,1
image/gif,1409,104,74
application/vnd.ms-fontobject,1111,60,29
font/ttf,53,15,7
application/zip,53,9,6
application/octet-stream,42,21,14
text/csv,39,3,2
application/pdf,2,2,1
text/x-component,1,1,0
