type,captures,urls,new_urls
text/html,22993497,11226773,7177585
image/jpeg,2790899,945670,703154
image/gif,1751593,427533,277455
image/png,191467,12197,6288
application/javascript,105856,5700,3786
text/css,80820,3147,1617
image/svg+xml,6626,133,101
text/plain,5450,398,296
application/json,3860,1274,1200
image/vnd.microsoft.icon,3513,4,0
application/xml,1218,1218,1215
application/pdf,850,503,312
application/x-shockwave-flash,610,27,13
application/vnd.ms-fontobject,413,21,7
application/octet-stream,288,70,42
text/csv,8,0,0
application/msword,1,1,1
