type,captures,urls,new_urls
text/html,10490527,2679124,2528400
text/css,67455,17137,16373
image/jpeg,46549,871,463
image/gif,22328,572,342
application/javascript,18153,15182,15152
image/png,7364,154,100
application/x-shockwave-flash,7137,135,50
application/json,2217,63,51
application/msword,928,33,11
application/vnd.ms-excel,814,12,4
text/plain,731,50,12
application/octet-stream,417,89,75
audio/mpeg,350,7,3
image/svg+xml,61,6,6
font/ttf,55,1,1
application/zip,38,4,3
application/rar,4,2,1
application/xml,3,3,2
