type,captures,urls,new_urls
text/html,1725833,1361574,1265201
image/png,230345,161104,153257
text/css,183857,17291,16746
application/javascript,90683,15744,15369
image/svg+xml,85614,2698,1580
application/octet-stream,14624,13040,12991
application/json,11451,3438,3393
image/jpeg,4988,158,96
image/gif,838,109,48
font/woff2,317,13,10
application/vnd.ms-fontobject,231,43,17
text/plain,147,147,147
audio/mpeg,44,31,28
font/woff,23,2,1
application/xml,14,6,3
video/mp4,10,2,1
application/x-shockwave-flash,2,1,1
image/vnd.microsoft.icon,1,1,1
