type,captures,urls,new_urls
text/html,21796980,12116988,7714584
image/png,40188,1647,950
application/octet-stream,6276,35,25
application/json,5944,3808,3311
application/javascript,5623,237,164
image/jpeg,4181,660,389
text/css,2415,140,106
image/vnd.microsoft.icon,1800,35,16
image/svg+xml,1633,186,88
application/x-shockwave-flash,1612,582,572
font/ttf,1208,98,24
application/vnd.ms-fontobject,1000,60,32
image/gif,836,178,167
video/webm,282,33,17
video/mp4,281,40,22
font/woff,256,18,2
font/woff2,93,16,2
application/xml,83,18,13
application/pdf,10,5,3
text/plain,6,1,1
audio/mpeg,5,5,5
application/zip,1,1,1
