type,captures,urls,new_urls
text/html,80196676,47264589,38364922
image/png,20746671,163648,111895
text/css,11011578,33125,30581
image/gif,4209086,215785,204305
image/svg+xml,1566815,568,253
application/json,1413751,19577,18251
application/octet-stream,485722,216,85
video/mp4,314262,9,3
image/jpeg,266114,5860,3767
text/plain,142295,132966,132869
application/zip,53709,444,248
audio/mpeg,11528,48,23
text/x-component,8259,14,2
application/x-shockwave-flash,4009,62,47
application/javascript,610,15,12
application/x-xpinstall,133,5,2
application/postscript,69,2,1
font/ttf,3,1,1
audio/ogg,3,3,2
