type,captures,urls,new_urls
image/jpeg,17583977,3924065,2881694
text/html,10232055,4030126,2910673
image/png,5015039,279543,197388
application/javascript,1969119,17231,10671
image/gif,1756653,122704,73361
text/css,1101859,14704,7371
application/octet-stream,34157,291,186
application/x-shockwave-flash,15392,966,345
image/x-ms-bmp,1590,758,483
application/pdf,721,53,32
text/plain,690,87,71
video/mp4,637,146,73
audio/mpeg,576,141,78
application/msword,494,144,113
application/vnd.ms-fontobject,454,69,39
image/svg+xml,412,133,85
application/vnd.openxmlformats-officedocument.wordprocessingml.document,225,115,74
application/vnd.openxmlformats-officedocument.presentationml.presentation,60,60,30
font/ttf,9,1,1
text/x-component,8,5,3
application/vnd.ms-excel,4,3,3
audio/midi,1,1,1
application/json,1,1,1
