type,captures,urls,new_urls
text/html,14538561,4031211,2728271
image/gif,6085977,5141831,508557
application/json,452138,342519,341039
image/png,397761,86044,39834
image/svg+xml,252553,15401,14630
application/javascript,43407,13123,12406
text/plain,42637,34453,11150
image/jpeg,25768,16577,16359
text/css,18422,1385,1312
application/vnd.ms-fontobject,2120,180,143
image/vnd.microsoft.icon,378,6,4
font/woff2,354,34,27
font/woff,331,36,28
application/xml,199,57,46
application/pdf,77,15,11
audio/mpeg,68,68,68
application/octet-stream,62,28,14
application/zip,33,17,16
video/mp4,8,8,8
application/gzip,8,3,1
application/msword,5,2,1
text/vnd.wap.wml,4,4,3
font/ttf,4,4,4
application/rtf,3,2,2
video/mpeg,2,1,0
application/x-shockwave-flash,1,1,1
