type,captures,urls,new_urls
text/html,710603,536359,508481
image/png,93563,14347,11772
image/jpeg,48964,10729,9295
application/javascript,24206,625,486
text/css,12518,219,117
image/svg+xml,9958,525,371
application/octet-stream,5727,116,60
application/json,4195,156,135
text/plain,3288,147,5
font/woff2,2582,11,4
font/woff,1829,37,6
image/gif,1585,214,182
application/pdf,1100,397,295
application/vnd.ms-fontobject,889,26,12
image/vnd.microsoft.icon,475,8,1
text/calendar,460,441,411
video/mp4,78,7,4
application/zip,12,9,6
application/xml,1,1,1
